,time,ticker,abnormal_return,y,volatility,reaction_positive,reaction_negative,volume_adi,volume_mfi,volatility_atr,trend_sma_slow,trend_macd,momentum_rsi,momentum_roc,momentum_ppo,others_dlr,others_cr,risk_factor_pos,risk_factor_neg,risk_factor_polarity,risk_factor_subjectivity,risk_factor_len,item1_pos,item1_neg,item1_polarity,item1_subjectivity,item1_len,item7_pos,item7_neg,item7_polarity,item7_subjectivity,industry_B,industry_C,industry_D,industry_E,industry_F,industry_G,industry_H,industry_I
4082,2016,aciw,0.13457725,1,0.108364262,5,6,104017149.3,47.56760825,0.624460163,19.41027778,-0.118196237,47.67129871,-0.743555776,-0.608942274,-0.065365224,158.8230006,944,512,0.296703296,0.380454664,3827,913,249,0.571428571,0.298791463,7242,1385,745,0.300469483,0.294117647,0,0,0,0,0,0,0,1
4083,2017,aciw,0.060934415,1,0.093951396,6,5,117283681.6,51.70868696,0.531731264,21.94015477,0.117032533,52.99402169,1.127484724,0.551957051,0.088594394,198.302978,942,498,0.308333333,0.385438972,3736,871,242,0.565139263,0.302939575,7380,1436,793,0.288470166,0.30203252,0,0,0,0,0,0,0,1
4084,2018,aciw,-0.104866261,0,0.404327515,8,3,125077647.5,56.94634489,0.685342088,25.35858562,0.130883034,53.38212959,1.032143801,0.502560589,0.079404912,244.7598094,921,503,0.293539326,0.383001614,3718,853,232,0.57235023,0.307104444,6896,1361,710,0.314340898,0.300319025,0,0,0,0,0,0,0,1
4085,2016,rnr,-0.041410081,0,0.108364262,7,4,-23403014390,53.1530975,6.174770046,112.1683293,0.561257096,55.6043206,0.909693983,0.480012232,0.07760158,191.9920456,1248,635,0.325544344,0.326796251,5762,2328,823,0.47762615,0.291166143,14529,2909,1408,0.347695159,0.297129878,0,0,0,0,0,0,1,0
4086,2018,rnr,0.043254846,1,0.404327515,8,3,-24179381845,49.51266439,4.903258049,125.8939052,0.056533714,50.71238483,0.324496949,0.031245136,0.027982733,225.4610802,1600,809,0.328352013,0.323964497,7436,2432,774,0.517155334,0.287378989,15216,3038,1564,0.320295524,0.302444795,0,0,0,0,0,0,1,0
4087,2006,rnr,0.322362499,1,0.06282182,3,8,-7451216529,55.85102443,9.17963365,39.9794742,0.364719237,56.52821455,1.692334546,0.85608853,0.129194227,4.889355085,1194,560,0.361459521,0.320892792,5466,2175,724,0.50051742,0.287513637,13145,2589,1350,0.314546839,0.299657664,0,0,0,0,0,0,1,0
4088,2007,rnr,0.276207251,1,0.147783741,5,6,-10230074691,52.35799949,10.02271003,47.67106658,0.044296597,51.41197939,0.262553564,0.066243673,0.00781142,23.08295621,1378,629,0.373193821,0.32112,6250,2686,847,0.520520804,0.285957102,15056,2958,1614,0.293963255,0.303666312,0,0,0,0,0,0,1,0
4089,2008,rnr,0.051710878,1,0.180492857,9,2,-12231633240,48.33501434,8.59707674,42.99937485,-0.279425814,47.29133107,-0.590861632,-0.659411567,-0.054332931,9.751293581,1234,583,0.358282884,0.328393277,5533,2077,688,0.502350814,0.283183122,17535,3588,1764,0.340807175,0.305218135,0,0,0,0,0,0,1,0
4090,2011,rnr,0.059030071,1,0.161627403,3,8,-17587731157,53.98180125,7.674321124,60.28368204,0.260287212,53.58205605,0.891002257,0.420041463,0.067607082,56.74389419,1374,648,0.359050445,0.319784912,6323,2026,659,0.509124767,0.279048015,21903,4108,2272,0.287774295,0.291284299,0,0,0,0,0,0,1,0
4091,2012,rnr,0.033379185,1,0.173856734,8,3,-18966907780,50.92708558,7.450823873,69.04571862,0.241328486,53.90020336,0.502368352,0.346366059,0.041128655,78.98413031,1314,637,0.347001537,0.324409711,6014,2529,944,0.456377771,0.289899833,23628,4501,2391,0.30615206,0.291687828,0,0,0,0,0,0,1,0
