,ticker,time,volume_adi,volume_mfi,volatility_atr,trend_sma_slow,trend_macd,momentum_rsi,momentum_roc,momentum_ppo,others_dlr,others_cr
3709,uboh,2009,#NAME?,51.64755239,2.751853566,7.403883341,-0.010504071,49.53972644,-0.17420144,-0.182660607,0.021727362,-24.08621661
3710,uboh,2010,#NAME?,52.34257046,2.094816523,7.376272763,0.022916239,51.40340669,0.820433847,0.299639965,0.03639802,-23.58004755
3711,uboh,2011,#NAME?,51.93749996,1.799713992,7.197190844,-0.064474962,44.59712941,-1.878479557,-0.977611005,-0.166219141,-27.38879437
3712,uboh,2012,#NAME?,58.58149755,1.69836713,6.692567909,0.063983794,53.89957677,2.304052194,0.893068645,0.168491508,-29.73439646
3713,uboh,2013,#NAME?,56.72326064,2.355054731,9.907128159,0.117766419,56.31823949,2.365068128,1.198903701,0.183377025,4.127131846
3714,uboh,2014,#NAME?,54.81717412,2.594890276,12.32449247,0.024554976,51.42493331,0.283751405,0.191493361,0.018052227,27.03645107
3715,uboh,2015,#NAME?,57.32258655,2.407483793,13.12569125,0.076897564,54.69578922,1.177970096,0.564656411,0.113277767,36.6484325
3716,uboh,2016,#NAME?,55.62621633,2.587468572,16.22172799,0.099496857,53.86962711,1.290900396,0.590601272,0.079364634,68.8308547
3717,uboh,2017,#NAME?,54.8309192,2.58267665,19.38226106,0.067596251,51.37690275,0.393571504,0.345237286,0.030066847,100.1613467
3718,uboh,2018,#NAME?,49.22257894,2.138334722,20.22269092,0.003781024,49.38994943,-0.186688094,0.013411455,-0.038915269,107.6739533
3719,uboh,2019,#NAME?,56.54550373,1.780237008,20.12769269,0.030049607,52.41965595,0.878527446,0.12614412,0.063831771,108.2376341
3720,uboh,2020,#NAME?,53.84742172,1.483775698,18.74104031,0.067299525,51.49241684,1.279445911,0.197082811,0.047332646,94.16584662
3721,cyan,2006,-830671.7597,51.74149692,0.207429017,2.372983082,-0.023058602,47.74824814,-0.771432883,-1.125155317,-0.129695854,-68.87446795
3722,cyan,2007,-994772.7094,48.31229023,0.118089203,1.467208793,-0.017758545,47.09948547,-1.193732922,-1.33149469,-0.120326349,-80.90805463
3723,cyan,2008,-619766.4289,52.66444423,0.152637619,1.606984302,0.009154515,50.83718119,1.79556595,0.600558995,0.017128262,-78.44604856
3724,cyan,2009,-67352.34832,57.85212611,0.172319696,2.172551882,0.071283029,55.61479804,7.121468527,2.550409264,0.510865784,-68.91780655
3725,cyan,2010,-501517.4163,48.87599284,0.192314206,2.880237503,-0.027362708,45.35480077,-0.363395658,-1.058536289,-0.178463146,-62.68224972
3726,cyan,2011,-699258.0292,55.91207806,0.214979425,3.834286157,0.115138022,54.52034861,5.588198559,2.196288551,0.288346356,-45.77978711
3727,cyan,2012,-259601.3706,43.34288121,0.424626408,7.241363089,-0.05713233,45.64758236,-1.718174985,-1.070927018,-0.162473896,-5.880318692
3728,cyan,2013,-548645.158,43.50567869,0.192681652,5.212858463,-0.00774777,48.1495639,0.283868213,-0.205892302,0.025112824,-30.72234022
3729,cyan,2014,-864005.607,47.73328717,0.207748782,5.059823902,0.035717957,50.78668353,1.943630452,0.584347663,0.136755356,-31.65000427
3730,cyan,2015,-896123.8909,42.56275009,0.288172454,7.583033159,-0.020531642,49.25103519,-0.663075714,-0.45216334,-0.112858419,0.05675966
3731,cyan,2016,-1047725.286,42.80278713,0.212043158,4.584636386,-0.046074542,47.38477551,-1.061035655,-1.060331411,-0.083871012,-39.97854454
3732,cyan,2017,-1041492.883,41.28848773,0.203814934,4.065747494,0.010550072,49.45310069,0.885303175,0.175010277,-0.041338118,-45.8094355
3733,cyan,2018,-966093.2258,44.91413621,0.185221001,4.057242253,-0.022625576,47.17580147,-0.651451004,-0.654289021,-0.107170361,-46.54917453
3734,cyan,2019,-1023408.154,43.21277188,0.113395052,2.926406454,-0.032436209,46.39818187,-1.508690275,-1.185635852,-0.117247892,-61.83116201
3735,cyan,2020,-1347079.624,60.2196701,0.166474382,2.415356694,0.016885348,51.52445126,1.90745084,0.59823249,0.106198188,-67.39822837
3736,slab,2006,-49389231.96,51.32192437,1.706204003,39.44061138,-0.099302414,49.01305741,0.106245369,-0.377033982,-0.022465525,-9.300963691
3737,slab,2007,-39331024.46,53.49943162,0.978877927,35.27177908,0.104899461,52.45403222,0.488044088,0.261787598,0.030746916,-18.17425075
3738,slab,2008,-49744286.52,47.03175371,1.241951564,31.05262389,-0.436370528,45.96731595,-1.47837891,-1.597752421,-0.163018034,-29.92354025
3739,slab,2009,-35907487.68,58.39750166,1.258348253,34.84189564,0.642303834,57.52780743,3.669601949,1.92610206,0.265495882,-16.74148158
3740,slab,2010,-25405304.35,48.49804801,1.100409521,43.58497403,-0.011343515,51.16726162,0.054461511,-0.057574691,-0.01984541,0.656855166
3741,slab,2011,-21099692.94,51.43190096,1.186548522,40.89229557,-0.072721006,48.85834384,-0.087727973,-0.212199653,-0.023077767,-5.903049962
3742,slab,2012,-21858969.07,49.78600656,1.086356685,39.67609845,-0.019202126,49.7803428,0.120343694,-0.078607867,-0.01520952,-8.423102787
